Case ID,Category,Module,Scenario,Applicable User,Browser Coverage,Automated Test
LG-0009,Unit,Login & Session,Reject both credentials empty,N/A,Primary Browser,tests/login/test_login_validation.py::test_login_rejects_invalid_credentials[LG-0009]
LG-0010,Unit,Login & Session,Reject empty username with valid password,N/A,Primary Browser,tests/login/test_login_validation.py::test_login_rejects_invalid_credentials[LG-0010]
LG-0011,Unit,Login & Session,Reject valid username with empty password,N/A,Primary Browser,tests/login/test_login_validation.py::test_login_rejects_invalid_credentials[LG-0011]
LG-0012,Unit,Login & Session,Reject invalid username with valid password,N/A,Primary Browser,tests/login/test_login_validation.py::test_login_rejects_invalid_credentials[LG-0012]
LG-0013,Unit,Login & Session,Reject valid username with invalid password,N/A,Primary Browser,tests/login/test_login_validation.py::test_login_rejects_invalid_credentials[LG-0013]
LG-0014,Unit,Login & Session,Reject invalid username and invalid password,N/A,Primary Browser,tests/login/test_login_validation.py::test_login_rejects_invalid_credentials[LG-0014]
LG-0015,Unit,Login & Session,Accept standard_user credentials,standard_user,All Supported Browsers,tests/login/test_login_validation.py::test_standard_user_credentials_are_accepted
LG-0023,System,Login & Session,Authenticate with locked_out_user,locked_out_user,Primary Browser,tests/login/test_login_validation.py::test_locked_out_user_is_rejected
CW-0001,System,Core Workflows,Successful standard purchase flow,standard_user,All Supported Browsers,tests/test_core_workflows.py::test_CW_0001_successful_standard_purchase_flow
CW-0002,System,Core Workflows,Multi-item purchase flow,standard_user,All Supported Browsers,tests/test_core_workflows.py::test_CW_0002_multi_item_purchase_flow
CW-0003,System,Core Workflows,Add then remove before checkout,standard_user,Primary Browser,tests/test_core_workflows.py::test_CW_0003_add_then_remove_before_checkout
CW-0004,System,Core Workflows,Product detail to cart to checkout,standard_user,Primary Browser,tests/test_core_workflows.py::test_CW_0004_product_detail_to_cart_to_checkout
CW-0005,System,Core Workflows,Cancel checkout information and continue shopping,standard_user,Primary Browser,tests/test_core_workflows.py::test_CW_0005_cancel_checkout_information_and_continue_shopping
CW-0006,System,Core Workflows,Cancel checkout overview then return to cart,standard_user,Primary Browser,tests/test_core_workflows.py::test_CW_0006_cancel_checkout_overview_then_return_to_cart
CW-0007,System,Core Workflows,Sort then add cheapest product,standard_user,Primary Browser,tests/test_core_workflows.py::test_CW_0007_sort_then_add_cheapest_product
